,Dataset,AMI,tmax
0,Blobs,0.3260018910508074,1
1,Blobs,1.0,2
2,Blobs,1.0,3
3,Blobs,1.0,4
4,Blobs,1.0,5
5,Blobs,1.0,6
6,Blobs,1.0,7
7,Blobs,1.0,8
8,Blobs,1.0,9
9,Blobs,1.0,10
10,Blobs,1.0,11
11,Blobs,1.0,12
12,Blobs,1.0,13
13,Blobs,1.0,14
14,Blobs,1.0,15
15,Blobs,1.0,16
16,Blobs,1.0,17
17,Blobs,1.0,18
18,Blobs,1.0,19
19,Blobs,1.0,20
20,Blobs,1.0,21
21,Blobs,1.0,22
22,Blobs,1.0,23
23,Blobs,1.0,24
24,Blobs,1.0,25
25,Blobs,1.0,26
26,Blobs,1.0,27
27,Blobs,1.0,28
28,Blobs,1.0,29
29,Blobs,1.0,30
30,Moons,0.15979039199981837,1
31,Moons,0.326433801793943,2
32,Moons,0.41564163389478076,3
33,Moons,0.4034245808692536,4
34,Moons,0.38010270295412985,5
35,Moons,0.3931248182103064,6
36,Moons,0.4941513634217682,7
37,Moons,0.3614247671989877,8
38,Moons,0.39783474875234354,9
39,Moons,0.5498643744199072,10
40,Moons,0.5803256668612359,11
41,Moons,0.57996175337012,12
42,Moons,0.44236922661376554,13
43,Moons,0.41950606840591964,14
44,Moons,0.4610046491719944,15
45,Moons,0.44895200847394046,16
46,Moons,0.4722037837329089,17
47,Moons,0.49681655239070616,18
48,Moons,0.4954321447193249,19
49,Moons,0.4917505025735903,20
50,Moons,0.4870995762158632,21
51,Moons,0.5048744782683378,22
52,Moons,0.5208819161743076,23
53,Moons,0.4917940806091464,24
54,Moons,0.5136335881226836,25
55,Moons,0.5243292106070285,26
56,Moons,0.5084678628629287,27
57,Moons,0.47981687872387285,28
58,Moons,0.4982164802405286,29
59,Moons,0.5076505741345064,30
60,Circles,0.1515467701958448,1
61,Circles,0.011987452471547484,2
62,Circles,0.024755105554320915,3
63,Circles,0.1515467701958448,4
64,Circles,0.1515467701958448,5
65,Circles,0.1515467701958448,6
66,Circles,0.1515467701958448,7
67,Circles,0.1515467701958448,8
68,Circles,0.1515467701958448,9
69,Circles,0.017891098876068916,10
70,Circles,0.016518143910162934,11
71,Circles,0.1670306734286774,12
72,Circles,0.17230418862049374,13
73,Circles,0.17520046616848242,14
74,Circles,0.18118858650271538,15
75,Circles,0.1839615757216314,16
76,Circles,0.18691109955612262,17
77,Circles,0.18516729662079479,18
78,Circles,0.18534589111705407,19
79,Circles,0.1867811268622802,20
80,Circles,0.18450230995946418,21
81,Circles,0.18428026622132634,22
82,Circles,0.18416629560532094,23
83,Circles,0.18269393807892842,24
84,Circles,0.185463199575285,25
85,Circles,0.18448741684457803,26
86,Circles,0.18390884714885397,27
87,Circles,0.18817011079549759,28
88,Circles,0.19028262600714083,29
89,Circles,0.18823654559400774,30
90,Iris,0.5097649614085735,1
91,Iris,0.7118839503026607,2
92,Iris,0.7315847607219573,3
93,Iris,0.7906982329182587,4
94,Iris,0.8553968865986616,5
95,Iris,0.7954205025674188,6
96,Iris,0.7954205025674188,7
97,Iris,0.7954205025674188,8
98,Iris,0.7315847607219573,9
99,Iris,0.7315847607219573,10
100,Iris,0.7315847607219573,11
101,Iris,0.7315847607219573,12
102,Iris,0.7315847607219573,13
103,Iris,0.7315847607219573,14
104,Iris,0.7315847607219573,15
105,Iris,0.7315847607219573,16
106,Iris,0.7315847607219573,17
107,Iris,0.7315847607219573,18
108,Iris,0.7315847607219573,19
109,Iris,0.7315847607219573,20
110,Iris,0.7315847607219573,21
111,Iris,0.7315847607219573,22
112,Iris,0.7315847607219573,23
113,Iris,0.7315847607219573,24
114,Iris,0.7315847607219573,25
115,Iris,0.7315847607219573,26
116,Iris,0.7315847607219573,27
117,Iris,0.7315847607219573,28
118,Iris,0.7315847607219573,29
119,Iris,0.7315847607219573,30
120,Wine,0.21734401444608623,1
121,Wine,0.2887724959672849,2
122,Wine,0.31522333606740643,3
123,Wine,0.36169450987678714,4
124,Wine,0.3753445154299608,5
125,Wine,0.39533142600338206,6
126,Wine,0.4072530114856764,7
127,Wine,0.3990674134587744,8
128,Wine,0.40925166327161827,9
129,Wine,0.4137088131680306,10
130,Wine,0.4131380022001554,11
131,Wine,0.4131380022001554,12
132,Wine,0.4131380022001554,13
133,Wine,0.4131380022001554,14
134,Wine,0.4131380022001554,15
135,Wine,0.4131380022001554,16
136,Wine,0.4131380022001554,17
137,Wine,0.4131380022001554,18
138,Wine,0.4131380022001554,19
139,Wine,0.4131380022001554,20
140,Wine,0.4131380022001554,21
141,Wine,0.4131380022001554,22
142,Wine,0.4131380022001554,23
143,Wine,0.4131380022001554,24
144,Wine,0.27446323971886305,25
145,Wine,0.27446323971886305,26
146,Wine,0.27446323971886305,27
147,Wine,0.27446323971886305,28
148,Wine,0.27446323971886305,29
149,Wine,0.27446323971886305,30
150,Breast Cancer,0.2441601216379207,1
151,Breast Cancer,0.3958572065345028,2
152,Breast Cancer,0.4018228990526251,3
153,Breast Cancer,0.43230112617575467,4
154,Breast Cancer,0.43313227476388155,5
155,Breast Cancer,0.4346559176600677,6
156,Breast Cancer,0.43866057730084257,7
157,Breast Cancer,0.44694059010577236,8
158,Breast Cancer,0.45497675091513273,9
159,Breast Cancer,0.47216634595341156,10
160,Breast Cancer,0.4680008167717548,11
161,Breast Cancer,0.48630110739490023,12
162,Breast Cancer,0.46922435852333594,13
163,Breast Cancer,0.5026347934394889,14
164,Breast Cancer,0.4981589080790878,15
165,Breast Cancer,0.4981589080790878,16
166,Breast Cancer,0.4981589080790878,17
167,Breast Cancer,0.5026347934394889,18
168,Breast Cancer,0.5026347934394889,19
169,Breast Cancer,0.5026347934394889,20
170,Breast Cancer,0.5026347934394889,21
171,Breast Cancer,0.5026347934394889,22
172,Breast Cancer,0.5026347934394889,23
173,Breast Cancer,0.5026347934394889,24
174,Breast Cancer,0.5026347934394889,25
175,Breast Cancer,0.5026347934394889,26
176,Breast Cancer,0.4981589080790878,27
177,Breast Cancer,0.5026347934394889,28
178,Breast Cancer,0.5026347934394889,29
179,Breast Cancer,0.4981589080790878,30
180,Digits,0.8335313103692,1
181,Digits,2.3140630140104056e-16,2
182,Digits,2.3140630140104056e-16,3
183,Digits,2.3140630140104056e-16,4
184,Digits,2.3140630140104056e-16,5
185,Digits,0.25608920542014496,6
186,Digits,0.26607574988112176,7
187,Digits,0.2715364292702937,8
188,Digits,0.27793746631855004,9
189,Digits,0.286619844521548,10
190,Digits,2.3140630140104056e-16,11
191,Digits,2.3140630140104056e-16,12
192,Digits,2.3140630140104056e-16,13
193,Digits,2.3140630140104056e-16,14
194,Digits,2.3140630140104056e-16,15
195,Digits,2.3140630140104056e-16,16
196,Digits,2.3140630140104056e-16,17
197,Digits,2.3140630140104056e-16,18
198,Digits,2.3140630140104056e-16,19
199,Digits,2.3140630140104056e-16,20
200,Digits,2.3140630140104056e-16,21
201,Digits,2.3140630140104056e-16,22
202,Digits,2.3140630140104056e-16,23
203,Digits,2.3140630140104056e-16,24
204,Digits,2.3140630140104056e-16,25
205,Digits,2.3140630140104056e-16,26
206,Digits,2.3140630140104056e-16,27
207,Digits,2.3140630140104056e-16,28
208,Digits,2.3140630140104056e-16,29
209,Digits,2.3140630140104056e-16,30
